# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Copyright 2011, 2014 (C) Quranic Arabic Corpus (morphology, version 0.5)
#  Kais Dukes, sckd@leeds.ac.uk
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

ChapterNo,VerseNo,TokenNo,SegmentNo,Segment,Lemma,Root
2,10,12,1,yakdhibu,kadhaba,kdhb
2,10,12,2,na,,
2,11,1,1,wa,,
2,11,1,2,idhā,idhā,
2,11,2,1,qīla,qāla,qūl
2,11,3,1,la,l,
2,11,3,2,hum,,
2,11,4,1,lā,lā,
2,11,5,1,tuf'sidu,afsadu,fsd
2,11,5,2,w,,
2,11,6,1,fī,fī,
2,11,7,1,al,,
2,11,7,2,arḍi,arḍ,rḍ
2,11,8,1,qālu,qāla,qūl
2,11,8,2,wā,,
2,11,9,1,inna,inn,
2,11,9,2,mā,mā,
2,11,10,1,naḥnu,,
2,11,11,1,muṣ'liḥūna,muṣ'liḥ,ṣlḥ
2,12,1,1,alā,alā,
2,12,2,1,inna,inn,
2,12,2,2,hum,,
2,12,3,1,humu,,
2,12,4,1,al,,
2,12,4,2,muf'sidūna,muf'sid,fsd
2,12,5,1,wa,,
2,12,5,2,lākin,lākin,
2,12,6,1,lā,lā,
2,12,7,1,yashʿuru,yashʿuru,shʿr
2,12,7,2,na,,
2,13,1,1,wa,,
2,13,1,2,idhā,idhā,
2,13,2,1,qīla,qāla,qūl
2,13,3,1,la,l,
2,13,3,2,hum,,
2,13,4,1,āminu,āmana,mn
2,13,4,2,w,,
2,13,5,1,ka,k,
2,13,5,2,mā,mā,
2,13,6,1,āmana,āmana,mn
2,13,7,1,al,,
2,13,7,2,nāsu,nās,nūs
2,13,8,1,qālu,qāla,qūl
2,13,8,2,wā,,
2,13,9,1,a,,
2,13,9,2,nu'minu,āmana,mn
2,13,10,1,ka,k,
2,13,10,2,mā,mā,
2,13,11,1,āmana,āmana,mn
2,13,12,1,al,,
2,13,12,2,sufahāu,safīh,sfh
2,13,13,1,alā,alā,
2,13,14,1,inna,inn,
2,13,14,2,hum,,
2,13,15,1,humu,,
2,13,16,1,al,,
2,13,16,2,sufahāu,safīh,sfh
2,13,17,1,wa,,
2,13,17,2,lākin,lākin,
2,13,18,1,lā,lā,
2,13,19,1,yaʿlamu,ʿalima,ʿlm
2,13,19,2,na,,
2,14,1,1,wa,,
2,14,1,2,idhā,idhā,
2,14,2,1,laqu,laqu,lqī
2,14,2,2,w,,
2,14,3,1,alladhīna,alladhī,
2,14,4,1,āmanu,āmana,mn
2,14,4,2,w,,
2,14,5,1,qālu,qāla,qūl
2,14,5,2,wā,,
2,14,6,1,āma,āmana,mn
2,14,6,2,nā,,
2,14,7,1,wa,,
2,14,7,2,idhā,idhā,
2,14,8,1,khala,khalā,khlū
2,14,8,2,w',,
2,14,9,1,ilā,ilā,
2,14,10,1,shayāṭīni,shayṭān,shṭn
2,14,10,2,him,,
2,14,11,1,qālu,qāla,qūl
2,14,11,2,wā,,
2,14,12,1,inna,inn,
2,14,12,2,,,
2,14,13,1,maʿa,maʿ,
2,14,13,2,kum,,
2,14,14,1,inna,inn,
2,14,14,2,mā,mā,
2,14,15,1,naḥnu,,
2,14,16,1,mus'tahziūna,mus'tahziūn,hz
2,15,1,1,allahu,allah,lh
2,15,2,1,yastahzi-u,us'tuh'zi-a,hz
2,15,3,1,bi,b,
2,15,3,2,him,,
2,15,4,1,wa,,
2,15,4,2,yamuddu,madda,mdd
2,15,4,3,hum,,
2,15,5,1,fī,fī,
2,15,6,1,ṭugh'yāni,ṭugh'yān,ṭghī
2,15,6,2,him,,
2,15,7,1,yaʿmahu,yaʿmahu,ʿmh
2,15,7,2,na,,
2,16,1,1,ulāika,ūlāik,
2,16,2,1,alladhīna,alladhī,
2,16,3,1,ish'tara,ish'tarā,shrī
2,16,3,2,wū,,
2,16,4,1,al,,
2,16,4,2,ḍalālata,ḍalālat,ḍll
2,16,5,1,bi,b,
2,16,5,2,al,,
2,16,5,3,hudā,hudan,hdī
2,16,6,1,fa,f,
2,16,6,2,mā,mā,
2,16,7,1,rabiḥat,rabiḥat,rbḥ
2,16,8,1,tijāratu,tijārat,tjr
2,16,8,2,hum,,
2,16,9,1,wa,,
2,16,9,2,mā,mā,
2,16,10,1,kānu,kāna,kūn
2,16,10,2,w,,
2,16,11,1,muh'tadīna,muh'tadūn,hdī
2,17,1,1,mathalu,mathal,mthl
2,17,1,2,hum,,
2,17,2,1,ka,k,
2,17,2,2,mathali,mathal,mthl
2,17,3,1,alladhī,alladhī,
2,17,4,1,is'tawqada,is'tawqada,qd
2,17,5,1,nāran,nār,nūr
2,17,6,1,fa,f,
2,17,6,2,lammā,lammā,
2,17,7,1,aḍāat,aḍāa,ḍū
2,17,8,1,mā,mā,
2,17,9,1,ḥawla,ḥawl,ḥūl
2,17,9,2,hu,,
2,17,10,1,dhahaba,dhahaba,dhhb
2,17,11,1,allahu,allah,lh
2,17,12,1,bi,b,
2,17,12,2,nūri,nūr,nūr
2,17,12,3,him,,
2,17,13,1,wa,,
2,17,13,2,taraka,taraka,trk
2,17,13,3,hum,,
2,17,14,1,fī,fī,
2,17,15,1,ẓulumātin,ẓulumāt,ẓlm
2,17,16,1,lā,lā,
2,17,17,1,yub'ṣiru,abṣara,bṣr
2,17,17,2,na,,
2,18,1,1,ṣummun,aṣamm,ṣmm
2,18,2,1,buk'mun,abkam,bkm
2,18,3,1,ʿum'yun,aʿmā,ʿmī
2,18,4,1,fa,f,
2,18,4,2,hum,,
2,18,5,1,lā,lā,
2,18,6,1,yarjiʿu,rajaʿa,rjʿ
2,18,6,2,na,,
2,19,1,1,aw,aw,
2,19,2,1,ka,k,
2,19,2,2,ṣayyibin,ṣayyib,ṣūb
2,19,3,1,mina,min,
2,19,4,1,al,,
2,19,4,2,samāi,samā,smū
2,19,5,1,fī,fī,
2,19,5,2,hi,,
2,19,6,1,ẓulumātun,ẓulumāt,ẓlm
2,19,7,1,wa,,
2,19,7,2,raʿdun,raʿd,rʿd
2,19,8,1,wa,,
2,19,8,2,barqun,barq,brq
2,19,9,1,yajʿalu,jaʿala,jʿl
2,19,9,2,na,,
2,19,10,1,aṣābiʿa,aṣābiʿ,ṣbʿ
2,19,10,2,hum,,
2,19,11,1,fī,fī,
2,19,12,1,ādhāni,udhunun,dhn
2,19,12,2,him,,
2,19,13,1,mina,min,
2,19,14,1,al,,
2,19,14,2,ṣawāʿiqi,ṣāʿiqat,ṣʿq
2,19,15,1,ḥadhara,ḥadhar,ḥdhr
2,19,16,1,al,,
2,19,16,2,mawti,mawt,mūt
2,19,17,1,wa,,
2,19,17,2,allahu,allah,lh
2,19,18,1,muḥīṭun,muḥīṭ,ḥūṭ
2,19,19,1,bi,b,
2,19,19,2,al,,
2,19,19,3,kāfirīna,kāfirūn,kfr
2,20,1,1,yakādu,kāda,kūd
2,20,2,1,al,,
2,20,2,2,barqu,barq,brq
2,20,3,1,yakhṭafu,khaṭifa,khṭf
2,20,4,1,abṣāra,baṣar,bṣr
2,20,4,2,hum,,
2,20,5,1,kullamā,kullamā,kll
2,20,6,1,aḍāa,aḍāa,ḍū
2,20,7,1,la,l,
2,20,7,2,hum,,
2,20,8,1,masha,masha,mshī
2,20,8,2,w',,
2,20,9,1,fī,fī,
2,20,9,2,hi,,
2,20,10,1,wa,,
2,20,10,2,idhā,idhā,
2,20,11,1,aẓlama,aẓlama,ẓlm
2,20,12,1,ʿalay,ʿalā,
2,20,12,2,him,,
2,20,13,1,qāmu,qāma,qūm
2,20,13,2,w,,
2,20,14,1,wa,,
2,20,14,2,law,la,
2,20,15,1,shāa,shāa,shī
2,20,16,1,allahu,allah,lh
2,20,17,1,la,,
2,20,17,2,dhahaba,dhahaba,dhhb
2,20,18,1,bi,b,
2,20,18,2,samʿi,samʿ,smʿ
2,20,18,3,him,,
2,20,19,1,wa,,
2,20,19,2,abṣāri,baṣar,bṣr
2,20,19,3,him,,
2,20,20,1,inna,inn,
2,20,21,1,allaha,allah,lh
2,20,22,1,ʿalā,ʿalā,
2,20,23,1,kulli,kull,kll
2,20,24,1,shayin,shay,shī
2,20,25,1,qadīrun,qadīr,qdr
2,21,1,1,yā,yā,
2,21,1,2,ayyuhā,ayyuhā,
2,21,2,1,al,,
2,21,2,2,nāsu,nās,nūs
2,21,3,1,uʿ'budu,ʿabada,ʿbd
2,21,3,2,w,,
2,21,4,1,rabba,rabb,rbb
2,21,4,2,kumu,,
2,21,5,1,alladhī,alladhī,
2,21,6,1,khalaqa,khalaqa,khlq
2,21,6,2,kum,,
2,21,7,1,wa,,
2,21,7,2,alladhīna,alladhī,
2,21,8,1,min,min,
2,21,9,1,qabli,qabl,qbl
2,21,9,2,kum,,
2,21,10,1,laʿalla,laʿall,
2,21,10,2,kum,,
2,21,11,1,tattaqu,ittaqā,qī
2,21,11,2,na,,
2,22,1,1,alladhī,alladhī,
2,22,2,1,jaʿala,jaʿala,jʿl
2,22,3,1,la,l,
2,22,3,2,kumu,,
2,22,4,1,al,,
2,22,4,2,arḍa,arḍ,rḍ
2,22,5,1,firāshan,firāsh,frsh
2,22,6,1,wa,,
2,22,6,2,al,,
2,22,6,3,samāa,samā,smū
2,22,7,1,bināan,binā,bnī
2,22,8,1,wa,,
2,22,8,2,anzala,anzala,nzl
2,22,9,1,mina,min,
2,22,10,1,al,,
2,22,10,2,samāi,samā,smū
2,22,11,1,māan,mā,mūh
2,22,12,1,fa,f,
2,22,12,2,akhraja,akhraja,khrj
2,22,13,1,bi,b,
2,22,13,2,hi,,
2,22,14,1,mina,min,
2,22,15,1,al,,
2,22,15,2,thamarāti,thamarāt,thmr
2,22,16,1,riz'qan,riz'q,rzq
2,22,17,1,la,l,
2,22,17,2,kum,,
2,22,18,1,fa,f,
2,22,18,2,lā,lā,
2,22,19,1,tajʿalu,jaʿala,jʿl
2,22,19,2,w,,
2,22,20,1,li,l,
2,22,20,2,lahi,allah,lh
2,22,21,1,andādan,andād,ndd
2,22,22,1,wa,,
2,22,22,2,antum,,
2,22,23,1,taʿlamu,ʿalima,ʿlm
2,22,23,2,na,,
2,23,1,1,wa,,
2,23,1,2,in,in,
2,23,2,1,kun,kāna,kūn
2,23,2,2,tum,,
2,23,3,1,fī,fī,
2,23,4,1,raybin,rayb,rīb
2,23,5,1,mi,min,
2,23,5,2,mā,mā,
2,23,6,1,nazzal,nazzala,nzl
2,23,6,2,nā,,
2,23,7,1,ʿalā,ʿalā,
2,23,8,1,ʿabdi,ʿabd,ʿbd
2,23,8,2,nā,,
2,23,9,1,fa,f,
2,23,9,2,'tu,atā,tī
2,23,9,3,w,,
2,23,10,1,bi,b,
2,23,10,2,sūratin,sūrat,sūr
2,23,11,1,min,min,
2,23,12,1,mith'li,mith'l,mthl
2,23,12,2,hi,,
2,23,13,1,wa,,
2,23,13,2,ud'ʿu,daʿā,dʿū
2,23,13,3,w,,
2,23,14,1,shuhadāa,shahīd,shhd
2,23,14,2,kum,,
2,23,15,1,min,min,
2,23,16,1,dūni,dūn,dūn
2,23,17,1,allahi,allah,lh
2,23,18,1,in,in,
2,23,19,1,kun,kāna,kūn
2,23,19,2,tum,,
2,23,20,1,ṣādiqīna,ṣādiq,ṣdq
2,24,1,1,fa,f,
2,24,1,2,in,in,
2,24,2,1,lam,lam,
2,24,3,1,tafʿalu,faʿala,fʿl
2,24,3,2,w,,
2,24,4,1,wa,,
2,24,4,2,lan,lan,
2,24,5,1,tafʿalu,faʿala,fʿl
2,24,5,2,w,,
2,24,6,1,fa,f,
2,24,6,2,uttaqu,ittaqā,qī
2,24,6,3,w,,
2,24,7,1,al,,
2,24,7,2,nāra,nār,nūr
2,24,8,1,allatī,alladhī,
2,24,9,1,waqūdu,waqūd,qd
2,24,9,2,hā,,
2,24,10,1,al,,
2,24,10,2,nāsu,nās,nūs
2,24,11,1,wa,,
2,24,11,2,al,,
2,24,11,3,ḥijāratu,ḥijārat,ḥjr
2,24,12,1,uʿiddat,aʿadda,ʿdd
2,24,13,1,li,l,
2,24,13,2,l,,
2,24,13,3,kāfirīna,kāfirūn,kfr
2,25,1,1,wa,,
2,25,1,2,bashiri,bushira,bshr
2,25,2,1,alladhīna,alladhī,
2,25,3,1,āmanu,āmana,mn
2,25,3,2,w,,
2,25,4,1,wa,,
2,25,4,2,ʿamilu,ʿamila,ʿml
2,25,4,3,w,,
2,25,5,1,al,,
2,25,5,2,ṣāliḥāti,ṣāliḥāt,ṣlḥ
2,25,6,1,anna,ann,
2,25,7,1,la,l,
2,25,7,2,hum,,
2,25,8,1,jannātin,jannat,jnn
2,25,9,1,tajrī,jaray,jrī
2,25,10,1,min,min,
2,25,11,1,taḥti,taḥt,tḥt
2,25,11,2,hā,,
2,25,12,1,al,,
2,25,12,2,anhāru,nahar,nhr
2,25,13,1,kullamā,kullamā,kll
2,25,14,1,ruziqu,razaqa,rzq
2,25,14,2,w,,
2,25,15,1,min,min,
2,25,15,2,hā,,
2,25,16,1,min,min,
2,25,17,1,thamaratin,thamarat,thmr
2,25,18,1,riz'qan,riz'q,rzq
2,25,19,1,qālu,qāla,qūl
2,25,19,2,w,,
2,25,20,1,hādhā,hādhā,
2,25,21,1,alladhī,alladhī,
2,25,22,1,ruziq,razaqa,rzq
2,25,22,2,nā,,
2,25,23,1,min,min,
2,25,24,1,qablu,qabl,qbl
2,25,25,1,wa,,
2,25,25,2,utu,atā,tī
2,25,25,3,w,,
2,25,26,1,bi,b,
2,25,26,2,hi,,
2,25,27,1,mutashābihan,mutashābih,shbh
2,25,28,1,wa,,
2,25,28,2,la,l,
2,25,28,3,hum,,
2,25,29,1,fī,fī,
2,25,29,2,hā,,
2,25,30,1,azwājun,zawj,zūj
2,25,31,1,muṭahharatun,muṭahharat,ṭhr
2,25,32,1,wa,,
2,25,32,2,hum,,
2,25,33,1,fī,fī,
2,25,33,2,hā,,
2,25,34,1,khālidūna,khālid,khld
2,26,1,1,inna,inn,
2,26,2,1,allaha,allah,lh
2,26,3,1,lā,lā,
2,26,4,1,yastaḥyī,yastaḥyī,ḥyī
2,26,5,1,an,an,
2,26,6,1,yaḍriba,ḍaraba,ḍrb
2,26,7,1,mathalan,mathal,mthl
2,26,8,1,mā,mā,
2,26,9,1,baʿūḍatan,baʿūḍat,bʿḍ
2,26,10,1,fa,f,
2,26,10,2,mā,mā,
2,26,11,1,fawqa,fawq,fūq
2,26,11,2,hā,,
2,26,12,1,fa,f,
2,26,12,2,ammā,ammā,
2,26,13,1,alladhīna,alladhī,
2,26,14,1,āmanu,āmana,mn
2,26,14,2,w,,
2,26,15,1,fa,f,
2,26,15,2,yaʿlamu,ʿalima,ʿlm
2,26,15,3,na,,
2,26,16,1,anna,ann,
2,26,16,2,hu,,
2,26,17,1,al,,
2,26,17,2,ḥaqqu,ḥaqq,ḥqq
2,26,18,1,min,min,
2,26,19,1,rabbi,rabb,rbb
2,26,19,2,him,,
2,26,20,1,wa,,
2,26,20,2,ammā,ammā,
2,26,21,1,alladhīna,alladhī,
2,26,22,1,kafaru,kafara,kfr
2,26,22,2,w,,
2,26,23,1,fa,f,
2,26,23,2,yaqūlu,qāla,qūl
2,26,23,3,na,,
2,26,24,1,mādhā,mādhā,
2,26,25,1,arāda,arāda,rūd
2,26,26,1,allahu,allah,lh
2,26,27,1,bi,b,
2,26,27,2,hādhā,hādhā,
2,26,28,1,mathalan,mathal,mthl
2,26,29,1,yuḍillu,aḍalla,ḍll
2,26,30,1,bi,b,
2,26,30,2,hi,,
2,26,31,1,kathīran,kathīr,kthr
2,26,32,1,wa,,
2,26,32,2,yahdī,hadā,hdī
2,26,33,1,bi,b,
2,26,33,2,hi,,
2,26,34,1,kathīran,kathīr,kthr
2,26,35,1,wa,,
2,26,35,2,mā,mā,
2,26,36,1,yuḍillu,aḍalla,ḍll
2,26,37,1,bi,b,
2,26,37,2,hi,,
2,26,38,1,illā,illā,
2,26,39,1,al,,
2,26,39,2,fāsiqīna,fāsiq,fsq
2,27,1,1,alladhīna,alladhī,
2,27,2,1,yanquḍu,naqaḍat,nqḍ
2,27,2,2,na,,
2,27,3,1,ʿahda,ʿahd,ʿhd
2,27,4,1,allahi,allah,lh
2,27,5,1,min,min,
2,27,6,1,baʿdi,baʿd,bʿd
2,27,7,1,mīthāqi,mīthāq,thq
2,27,7,2,hi,,
2,27,8,1,wa,,
2,27,8,2,yaqṭaʿu,quṭiʿa,qṭʿ
2,27,8,3,na,,
2,27,9,1,mā,mā,
2,27,10,1,amara,amara,mr
2,27,11,1,allahu,allah,lh
2,27,12,1,bi,b,
2,27,12,2,hi,,
2,27,13,1,an,an,
2,27,14,1,yūṣala,yaṣilu,ṣl
2,27,15,1,wa,,
2,27,15,2,yuf'sidu,afsadu,fsd
2,27,15,3,na,,
2,27,16,1,fī,fī,
2,27,17,1,al,,
2,27,17,2,arḍi,arḍ,rḍ
2,27,18,1,ulāika,ūlāik,
2,27,19,1,humu,,
2,27,20,1,al,,
2,27,20,2,khāsirūna,khāsirīn,khsr
2,28,1,1,kayfa,kayf,kīf
2,28,2,1,takfuru,kafara,kfr
2,28,2,2,na,,
2,28,3,1,bi,b,
2,28,3,2,allahi,allah,lh
2,28,4,1,wa,,
2,28,4,2,kun,kāna,kūn
2,28,4,3,tum,,
2,28,5,1,amwātan,mayyit,mūt
2,28,6,1,fa,f,
2,28,6,2,aḥyā,aḥyā,ḥyī
2,28,6,3,kum,,
